//Еда
καινούριος|новый (первый раз использующийся)
νέος|новый, молодой, недавний, свежий
γέρος|пожилой
παλιός|старый, бывший, устаревший
αρχαίος|древний, античный
ψηλός|высокий
κοντός|низкий, короткий
ευτυχισμένος|счастливый
λυπημένος|грустный
εύκολος|лёгкий (по сложности)
δύσκολος|сложный
γλυκός|сладкий
πικρός|горький
ζεστός|тёплый
κρύος|холодный
γρήγορος|быстрый
αργός|медленный
πλούσιος|богатый
φτωχός|бедный
μελαχρινός|брюнет
ξανθός|блондин
κοκκινομάλλης|рыжий
ξαστανόξανθος|русый|2
αδύνατος|стройный
χοντρός|толстый
εύσωμος|в теле
μοντέρνος|модный
ξύλινος|дереянный
δικός|собственный
διάφορος|различнй|150
βόρειος|северный
νότιος|южный
ανατολικός|восточный
δυτικός|западный
αδύναμος|слабый
δυνατός|сильный
μητρικός|родной
άλλοι|другие (м.р.)

//Местоположение
εδώ|здесь
εκεί|там
πάνω|наверху
κάτω|внизу
μέσα|внутри
έξω|снаружи
μπροστά|перед
πίσω|за, позади
δεξιά|справа
αριστερά|слева
ανάμεσα|между
κοντά|близко
μακριά|далеко
δίπλα|рядом, сбоку
κατά|напротив

//Местоимения
εγώ|я
εσύ|ты
αυτός|он
αυτή|она
αυτό|оно
εμείς|мы
εσείς|вы
αυτοί|они (мужчины или смешанный состав)
αυτές|они (женщины)
αυτά|они (средний род)
ποιος|кто
μου|мой
σου|твой
του|его
της|её
μας|наш
σας|ваш
τους|их

//Глаголы
είμαι|быть
έχω|иметь
κάνω|делать
πηγαίνω|идти, ехать
βλέπω|видеть
λέω|говорить
ακούω|слышать
γράφω|писать
διαβάζω|читать
τρώω|есть
πίνω|пить
θέλω|хотеть
μπορώ|мочь
δουλεύω|работать
παίζω|играть
αγαπάω|любить
μένω|проживать
ξέρω|знать
καταλαβαίνω|понимать
ανοίγω|открывать
σπουδάζω|учиться в высш. уч. заведении
ξεκινάω|начинать
πέρναω|проходить
νομίζω|полагать
ρωτάω|спрашивать
απαντώ|отвечать
έρχομαι|приходить
γνωρίζω|знать, быть знакомым с ...
κοιμάμαι|спать

//Природа
κόσμος|мир
νερό|вода
ήλιος|солнце
φεγγάρι|луна
γη|земля
αέρας|воздух
θάλασσα|море
πρωί|утро
βράδυ|вечер
βορράς|север
νότος|юг
ανατολή|восток
δύση|запад
άνοιξη|весна
καλοκαίρι|лето
φθινόπωρο|осень
χειμώνας|зима
άνεμος|ветер
βουνό|горы
βροχή|дождь
ουρανός|небо
ποτάμι|река
σύννεφο|облако
ωκεανός|океан
πλανήτης|планета
αστέρι|звезда
λίμνη|озеро
λακκούβα|пруд
νησί|остров
πέτρα|камень
γυαλί|стекло
φοινικιά|пальма
θάμνος|куст
φως|свет
χιόνι|снег
χώρος|пространство
ήπειρος|континент
λουλούδι|цветок
δέντρο|дерево
